"Absolute path" "Relative path" "Class name"
"C:\pp var 4\dataset3\06290.jpg" dataset3\06290.jpg tulip
"C:\pp var 4\dataset3\05883.jpg" dataset3\05883.jpg tulip
"C:\pp var 4\dataset3\05292.jpg" dataset3\05292.jpg tulip
"C:\pp var 4\dataset3\01907.jpg" dataset3\01907.jpg tulip
"C:\pp var 4\dataset3\01916.jpg" dataset3\01916.jpg tulip
"C:\pp var 4\dataset3\07490.jpg" dataset3\07490.jpg tulip
"C:\pp var 4\dataset3\05589.jpg" dataset3\05589.jpg tulip
"C:\pp var 4\dataset3\00714.jpg" dataset3\00714.jpg tulip
"C:\pp var 4\dataset3\07340.jpg" dataset3\07340.jpg tulip
"C:\pp var 4\dataset3\06716.jpg" dataset3\06716.jpg tulip
"C:\pp var 4\dataset3\09798.jpg" dataset3\09798.jpg tulip
"C:\pp var 4\dataset3\08104.jpg" dataset3\08104.jpg tulip
"C:\pp var 4\dataset3\02552.jpg" dataset3\02552.jpg tulip
"C:\pp var 4\dataset3\08957.jpg" dataset3\08957.jpg tulip
"C:\pp var 4\dataset3\02318.jpg" dataset3\02318.jpg tulip
"C:\pp var 4\dataset3\00956.jpg" dataset3\00956.jpg tulip
"C:\pp var 4\dataset3\03694.jpg" dataset3\03694.jpg tulip
"C:\pp var 4\dataset3\08072.jpg" dataset3\08072.jpg tulip
"C:\pp var 4\dataset3\07005.jpg" dataset3\07005.jpg tulip
"C:\pp var 4\dataset3\02484.jpg" dataset3\02484.jpg tulip
"C:\pp var 4\dataset3\08835.jpg" dataset3\08835.jpg tulip
"C:\pp var 4\dataset3\09087.jpg" dataset3\09087.jpg tulip
"C:\pp var 4\dataset3\08415.jpg" dataset3\08415.jpg tulip
"C:\pp var 4\dataset3\07424.jpg" dataset3\07424.jpg tulip
"C:\pp var 4\dataset3\01432.jpg" dataset3\01432.jpg tulip
"C:\pp var 4\dataset3\05508.jpg" dataset3\05508.jpg tulip
"C:\pp var 4\dataset3\05112.jpg" dataset3\05112.jpg tulip
"C:\pp var 4\dataset3\02314.jpg" dataset3\02314.jpg tulip
"C:\pp var 4\dataset3\09862.jpg" dataset3\09862.jpg tulip
"C:\pp var 4\dataset3\01415.jpg" dataset3\01415.jpg tulip
"C:\pp var 4\dataset3\09876.jpg" dataset3\09876.jpg tulip
"C:\pp var 4\dataset3\05934.jpg" dataset3\05934.jpg tulip
"C:\pp var 4\dataset3\08759.jpg" dataset3\08759.jpg tulip
"C:\pp var 4\dataset3\09110.jpg" dataset3\09110.jpg tulip
"C:\pp var 4\dataset3\01445.jpg" dataset3\01445.jpg tulip
"C:\pp var 4\dataset3\04445.jpg" dataset3\04445.jpg tulip
"C:\pp var 4\dataset3\05576.jpg" dataset3\05576.jpg tulip
"C:\pp var 4\dataset3\02721.jpg" dataset3\02721.jpg tulip
"C:\pp var 4\dataset3\00963.jpg" dataset3\00963.jpg tulip
"C:\pp var 4\dataset3\07833.jpg" dataset3\07833.jpg tulip
"C:\pp var 4\dataset3\07125.jpg" dataset3\07125.jpg tulip
"C:\pp var 4\dataset3\05870.jpg" dataset3\05870.jpg tulip
"C:\pp var 4\dataset3\01491.jpg" dataset3\01491.jpg tulip
"C:\pp var 4\dataset3\04452.jpg" dataset3\04452.jpg tulip
"C:\pp var 4\dataset3\06206.jpg" dataset3\06206.jpg tulip
"C:\pp var 4\dataset3\05841.jpg" dataset3\05841.jpg tulip
"C:\pp var 4\dataset3\02385.jpg" dataset3\02385.jpg tulip
"C:\pp var 4\dataset3\03773.jpg" dataset3\03773.jpg tulip
"C:\pp var 4\dataset3\08400.jpg" dataset3\08400.jpg tulip
"C:\pp var 4\dataset3\04754.jpg" dataset3\04754.jpg tulip
"C:\pp var 4\dataset3\02176.jpg" dataset3\02176.jpg tulip
"C:\pp var 4\dataset3\03641.jpg" dataset3\03641.jpg tulip
"C:\pp var 4\dataset3\06454.jpg" dataset3\06454.jpg tulip
"C:\pp var 4\dataset3\09429.jpg" dataset3\09429.jpg tulip
"C:\pp var 4\dataset3\03017.jpg" dataset3\03017.jpg tulip
"C:\pp var 4\dataset3\07747.jpg" dataset3\07747.jpg tulip
"C:\pp var 4\dataset3\01715.jpg" dataset3\01715.jpg tulip
"C:\pp var 4\dataset3\05612.jpg" dataset3\05612.jpg tulip
"C:\pp var 4\dataset3\04664.jpg" dataset3\04664.jpg tulip
"C:\pp var 4\dataset3\04476.jpg" dataset3\04476.jpg tulip
"C:\pp var 4\dataset3\07526.jpg" dataset3\07526.jpg tulip
"C:\pp var 4\dataset3\08789.jpg" dataset3\08789.jpg tulip
"C:\pp var 4\dataset3\05016.jpg" dataset3\05016.jpg tulip
"C:\pp var 4\dataset3\01061.jpg" dataset3\01061.jpg tulip
"C:\pp var 4\dataset3\09144.jpg" dataset3\09144.jpg tulip
"C:\pp var 4\dataset3\01533.jpg" dataset3\01533.jpg tulip
"C:\pp var 4\dataset3\06294.jpg" dataset3\06294.jpg tulip
"C:\pp var 4\dataset3\08963.jpg" dataset3\08963.jpg tulip
"C:\pp var 4\dataset3\06098.jpg" dataset3\06098.jpg tulip
"C:\pp var 4\dataset3\01368.jpg" dataset3\01368.jpg tulip
"C:\pp var 4\dataset3\08786.jpg" dataset3\08786.jpg tulip
"C:\pp var 4\dataset3\09525.jpg" dataset3\09525.jpg tulip
"C:\pp var 4\dataset3\01387.jpg" dataset3\01387.jpg tulip
"C:\pp var 4\dataset3\05890.jpg" dataset3\05890.jpg tulip
"C:\pp var 4\dataset3\03626.jpg" dataset3\03626.jpg tulip
"C:\pp var 4\dataset3\09242.jpg" dataset3\09242.jpg tulip
"C:\pp var 4\dataset3\06930.jpg" dataset3\06930.jpg tulip
"C:\pp var 4\dataset3\05591.jpg" dataset3\05591.jpg tulip
"C:\pp var 4\dataset3\06886.jpg" dataset3\06886.jpg tulip
"C:\pp var 4\dataset3\03778.jpg" dataset3\03778.jpg tulip
"C:\pp var 4\dataset3\09809.jpg" dataset3\09809.jpg tulip
"C:\pp var 4\dataset3\06890.jpg" dataset3\06890.jpg tulip
"C:\pp var 4\dataset3\04435.jpg" dataset3\04435.jpg tulip
"C:\pp var 4\dataset3\02164.jpg" dataset3\02164.jpg tulip
"C:\pp var 4\dataset3\08249.jpg" dataset3\08249.jpg tulip
"C:\pp var 4\dataset3\02268.jpg" dataset3\02268.jpg tulip
"C:\pp var 4\dataset3\07383.jpg" dataset3\07383.jpg tulip
"C:\pp var 4\dataset3\07942.jpg" dataset3\07942.jpg tulip
"C:\pp var 4\dataset3\09092.jpg" dataset3\09092.jpg tulip
"C:\pp var 4\dataset3\03683.jpg" dataset3\03683.jpg tulip
"C:\pp var 4\dataset3\08293.jpg" dataset3\08293.jpg tulip
"C:\pp var 4\dataset3\01994.jpg" dataset3\01994.jpg tulip
"C:\pp var 4\dataset3\08119.jpg" dataset3\08119.jpg tulip
"C:\pp var 4\dataset3\09383.jpg" dataset3\09383.jpg tulip
"C:\pp var 4\dataset3\07406.jpg" dataset3\07406.jpg tulip
"C:\pp var 4\dataset3\02121.jpg" dataset3\02121.jpg tulip
